id,name,size,proof,abv,spirit_type,brand_id,popularity,image_url,avg_msrp,fair_price,shelf_price,total_score,wishlist_count,vote_count,bar_count,ranking
4450,Buffalo Trace,1000,90,45,Bourbon,245,100050,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recynj4TDF3tIdXtm,31.77,58.32,39,3427,185,821,2421,114
17176,Peerless Double Oak Bourbon,750,109,54.5,Bourbon,163,100057,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recSAAp8SGDHRfYIC,88.97,120.88,148.49,3406,679,813,1914,116
7140,Buffalo Trace Bourbon Cream,750,30,15,Liqueurs,245,200,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recYsXSE105q4ECKf,20.97,36.72,28.99,3357,140,729,2488,117
14409,Widow Jane Decadence,750,91,45.5,Whiskey,295,100062,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recDs0czgClatyA27,84.97,127.96,146.31,3342,438,862,2042,118
1462,Larceny,750,92,46,Bourbon,587,200,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recNqaM5DIYTY1Ogr,25.81,39.24,31.99,3324,275,863,2186,119
4576,Michter's Single Barrel Rye 10 Year,750,93,46.5,Rye,405,100038,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recz17t4abIbw4sHf,158.6,287.59,275.99,3292,663,1053,1576,120
429,Old Forester Statesman,750,95,47.5,Bourbon,152,100029,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recajB9QXl85VVyi7,52.87,81.93,59.49,3261,342,848,2071,121
1663,Redbreast 12 Year Old Single Pot Still,750,80,40,Irish Whiskey,646,1920,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recPJhLfuejW7EqpZ,66.08,80.59,71.77,3233,511,878,1844,122
21689,Crown Royal Blackberry,750,70,35,Canadian Whisky,182,100067,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recFbBA0vcRseKJin,33.95,43.69,36.67,3204,94,734,2376,123
16484,Calumet Farm 15 Year Single Rack Black,750,105,52.5,Bourbon,769,1960,https://d1w35me0y6a2bb.cloudfront.net/newproducts/reckAiWwFEzzaC6Rm,129.98,158.66,149.99,3176,580,829,1767,124
4598,Weller Antique 107,1750,107,53.5,Bourbon,156,100058,https://d1w35me0y6a2bb.cloudfront.net/newproducts/reczgOfqTV9DjCdLK,99.99,165.4,299.99,3168,782,1145,1241,125
15985,George Dickel 15 Year Single Barrel,750,105,52.5,Whiskey,486,1996,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recCUVFdM6HyJI3hV,59.97,97.54,100.4,3114,441,1150,1523,126
17021,Little Book Chapter 5: The Invitation,750,117,58.5,Bourbon,823,1998,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recXp8tW02Ex447K0,124.97,188.56,209.89,3102,882,1188,1032,127
4486,John J. Bowman Single Barrel 10 Year,750,100,50,Bourbon,6232,200,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recy0ZZcEMUAAWKTc,49.15,80.71,55.04,3084,753,743,1588,128
1636,Russell’s Reserve Private Barrel Selection Single Barrel,750,110,55,Bourbon,496,100074,https://d1w35me0y6a2bb.cloudfront.net/newproducts/a887f597-cfef-4a49-985b-e8b632b5db32,56.99,104.53,63.83,3006,442,538,2026,129
220,Noah's Mill,750,,57.15,Bourbon,8577,200,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec850EjFSGBieSX3,63.83,93.77,71.49,2967,273,762,1932,130
3941,Michter's US1 Unblended American Whiskey,750,83,41.5,Bourbon,405,200,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recsTcWBsUkitiYIU,44.98,68.58,54.66,2905,294,679,1932,131
4593,Kentucky Owl Confiscated,750,,48.2,Bourbon,779,100,https://d1w35me0y6a2bb.cloudfront.net/newproducts/reczcZOsqVRMEF0X0,124.97,217.88,159.12,2884,296,929,1659,132
1924,Old Tub,750,100,50,Bourbon,3559,1999,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recS3K2f1ZpQduCg4,22.23,35.33,29.99,2881,276,950,1655,133
2594,Eagle Rare 17 Year,750,90,45,Bourbon,542,100,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec0j5xtGTJNTdaLQ,103.54,681.17,1998.89,2833,1487,990,356,134
